metric_id,label,theme,unit,barrio_id,barrio_name,period,value,source
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2004,184.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2005,178.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2006,154.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2007,142.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2008,153.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2009,154.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2010,154.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2011,155.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2012,154.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2013,156.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2014,153.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2015,155.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2016,154.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2017,165.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2018,173.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2019,179.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2020,186.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2021,203.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2022,202.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2023,214.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2024,226.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,ategorrieta-ulia,Ategorrieta-Ulia,2025,219.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2000,236.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2001,235.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2002,231.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2003,215.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2004,208.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2005,204.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2006,202.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2007,202.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2008,201.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2009,195.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2010,193.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2011,195.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2012,199.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2013,202.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2014,204.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2015,202.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2016,204.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2017,204.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2018,206.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2019,218.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2020,224.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2021,233.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2022,237.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2023,244.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2024,253.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,egia,Egia,2025,259.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,erdialdea,Erdialdea (Centro),2000,292.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,erdialdea,Erdialdea (Centro),2001,284.3,Donostia Open Data — población por edad y género por barrio (Padrón)
