street_code,name_es,name_eu,lon,lat,units,vut,hut,beds
7750,"José María Busca Isusi, Calle de",José María Busca Isusi Kalea,-1.956006,43.311595,1,0,1,3
7880,"Pello Mari Otaño, Calle de",Pello Mari Otaño Kalea,-1.951906,43.313375,1,1,0,3
7920,"Gregorio Ordoñez, Calle de",Gregorio Ordoñez Kalea,-1.973467,43.30588,1,1,0,2
8000,"Wiesbaden, Calle de",Wiesbaden Kalea,-2.00531,43.315641,1,1,0,8
820,"Brunet, Calle de",Brunet Kalea,-2.004094,43.315102,1,1,0,4
8250,"Carmelo Etxegarai, Calle de",Karmelo Etxegarai Kalea,-2.00623,43.31138,1,1,0,4
8470,"Pepe Artola, Calle de",Pepe Artola Kalea,-1.962174,43.315205,1,1,0,6
860,"Buztintxulo, Calle de",Buztintxulo Kalea,-1.952255,43.311891,1,0,1,6
8600,"Txalupagillene, Plaza de",Txalupagillene Plaza,-2.003434,43.312912,1,1,0,3
8650,"Kañueta, Camino de",Kañueta Bidea,-2.003379,43.293895,1,1,0,5
8660,"Lanberri, Calle de",Lanberri Kalea,-1.983997,43.30027,1,0,1,2
870,"Egia, Calzada de",Egia Galtzada,-1.970905,43.321853,1,1,0,3
8770,"Intxaurdegi, Calle de",Intxaurdegi Kalea,-1.987708,43.288289,1,1,0,8
8810,"Katalina Eleizegi, Calle de",Katalina Eleizegi Kalea,-1.987738,43.305282,1,0,1,2
8820,"Katxola, Calle de",Katxola Kalea,-1.991492,43.295579,1,0,1,4
8840,"Lugaritz, Paseo de",Lugaritz Pasealekua,-1.997477,43.304566,1,1,0,2
