provincia,tipologia,year,infracciones,source
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2012,115,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2013,192,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2014,201,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2015,204,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2016,232,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2017,334,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2018,427,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2019,461,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2020,513,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2021,629,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2022,903,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2023,844,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.3.-Malos tratos ámbito familiar,2024,975,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2010,1533,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
